nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
SPSV Société de Plomberie Sanitaire et VRD,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
L' ARTISAN PLOMBIER,Plombiers | Dépannage plomberie,4 lotissement Les Prairiales 97180 Sainte Anne,97180,Sainte Anne,971,0690127991,0690242555,non,,,,installation de sanitaire | entretien de ballon d'eau chaude | entretien de sanitaire | rénovation de salle de bain | détection de gaz | entretien de canalisation | entretien de robinetterie | détartrage de ballon d'eau chaude | plomberie de salle de bain | installation de baignoire balnéo | détection de fuite d'eau | installation de baignoire | entretien de chauffe-eau à gaz | Dépannage urgent | Récupération d'eaux pluviales,,,,518884499,51888449900014,4322A,21 décembre 2009,,Siège,,,https://www.pagesjaunes.fr/pros/52315005,2026-01-25
A.P.E.L Plomberie,Dépannage plomberie | Matériel de plomberie,Bois de Roses route Caraque 97139 Les Abymes,97139,Les Abymes,971,0590231273,0690584700,non,,Lundi: 08h00 - 18h00 | Mardi: 08h00 - 18h00 | Mercredi: 08h00 - 18h00 | Jeudi: 08h00 - 18h00 | Vendredi: 08h00 - 18h00 | Samedi: 08h00 - 12h00 | Dimanche: Fermé,"Espèces, Virement bancaire, CB, Visa, Mastercard",débouchage de canalisation de wc | changement de robinetterie | vidange de wc | réparation de chasse d'eau | dépannage de fuite sous évier | dépannage de chauffe-eau | dépannage de ballon d'eau chaude | dépannage de sanitaire | dépannage de chasse d'eau | dépannage de fuite de gaz | détection de fuite d'eau | dépannage de fuite d'eau | dépannage de canalisation | débouchage de wc | entretien de chauffe-eau,,,,444981831,44498183100019,4322A,22 janvier 2003,0 salarié,Siège,1,,https://www.pagesjaunes.fr/pros/08856777,2026-01-25
Polka SAF,Plombiers | Entreprises de démolition | Rénovation immobilière,rue Gabriel Agape 97122 Baie Mahault,97122,Baie Mahault,971,0690353462,0590325555,non,,Lundi: 06h30 - 18h00 | Mardi: 06h30 - 18h00 | Mercredi: 06h30 - 18h00 | Jeudi: 06h30 - 18h00 | Vendredi: 06h30 - 18h00 | Samedi: Fermé | Dimanche: Fermé,,entretien de chauffe-eau | rénovation de salle de bain | plomberie de salle de bain | fuite de wc | installation de sanitaire | plomberie pour gaz | nettoyage de tuyauterie | détection de fuite d'eau | pose de canalisation | installateur de machine à laver | installation de baignoire | plomberie industrielle | pose d'évier | installation de wc | installateur de cabine de douche,ballon d'eau chaude | caméra d'assainissement | Fabrication sanitaire en Corian sur mesure,,,823606355,82360635500019,4322A,8 novembre 2016,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/50405619,2026-01-25
Max Genies,"Plombiers | Fabrication de cuves, de citernes, de réservoirs | Fosses septiques | Énergies renouvelables",route Baie 97160 Le Moule,97160,Le Moule,971,0590238004,0690358240,non,,,,vidange de sanitaire | fuite d'eau | plomberie de salle de bain | curage de wc | débouchage de canalisation | installation de sanitaire | vidange de wc | installation de douche | réparation de chauffe-eau | changement de chauffe-eau | entretien de chauffe-eau à gaz | entretien de chauffe-eau | pose de salle de bains | détection de fuite d'eau | rénovation de sanitaire,plomberie de sanitaire | ballon d'eau chaude | caméra d'assainissement | chauffe-eau solaire,,,438593873,43859387300013,4391B,5 août 2001,1 à 2 salariés,Siège,,,https://www.pagesjaunes.fr/pros/08704176,2026-01-25
P.E.TP,Plombiers | Dépannage plomberie,rue Canal Bonne Mère 97115 Sainte Rose,97115,Sainte Rose,971,0690962516,0590327832,non,,Lundi: 06h00 - 17h00 | Mardi: 06h00 - 17h00 | Mercredi: 06h00 - 17h00 | Jeudi: 06h00 - 17h00 | Vendredi: 06h00 - 17h00 | Samedi: 07h00 - 12h00 | Dimanche: Fermé,"Visa, Espèces, CB, Mastercard, Virement bancaire, Chèque",plomberie de salle de bain | changement de joint | débouchage de lavabo | changement de chauffe-eau | dépannage de ballon d'eau chaude | entretien de chauffe-eau | débouchage de siphon | débouchage d'évier | curage de wc | fuite d'eau | installation de sanitaire | rénovation de salle de bain | installateur de cabine de douche | débouchage de canalisation | installation de mitigeur,chauffe-eau thermodynamique | ballon d'eau chaude | plomberie de sanitaire,,,848317707,84831770700018,4322A,14 mars 2019,,Siège,,,https://www.pagesjaunes.fr/pros/61044055,2026-01-25
Stén'Art Plomberie,Plombiers,Sten Art Plomberie Section Devarieux rue Bon Air 97131 Petit Canal,97131,Petit Canal,971,0690124882,0590838860,non,,Lundi: 06h00 - 18h00 | Mardi: 06h00 - 18h00 | Mercredi: 06h00 - 18h00 | Jeudi: 06h00 - 18h00 | Vendredi: 06h00 - 18h00 | Samedi: 06h00 - 18h00 | Dimanche: Fermé,,rénovation de salle de bain | installation de sanitaire | plomberie de salle de bain | désengorgement de WC | création d'assainissement | installation du système d'assainissement | installation d'eau froide | épandage | installation de sanitaire avec robinetterie | remise en conformité | recherche de fuite d'eau | installation de citerne avec suppresseur pour eau de pluie ou de ville | travaux de plomberie | installation d'eau chaude | réparation de fuite d'eau,wc | robinetterie | baignoire | évier | lavabo | mécanisme WC | chauffe-eau électrique | sanitaires divers | bac à douche,,,883801383,88380138300018,4322A,2 juin 2020,,Siège,,,https://www.pagesjaunes.fr/pros/60701194,2026-01-25
Eric Baltus,Plombiers,Beau Soleil 97119 Vieux Habitants,97119,Vieux Habitants,971,0690553066,0338149222,non,,,,débouchage de canalisation | entretien de chauffe-eau | réparation de chauffe-eau | changement de chauffe-eau | détection de fuite d'eau | entretien de canalisation | inspection vidéo de canalisation | curage de wc | recherche de fuite | devis sur demande | Artisan,plomberie de sanitaire,,,393126875,39312687500011,4322A,22 novembre 1993,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/07201914,2026-01-25
Renov'Elec,,,,,,,,,,,,,,,,,,,,,,5,,,2026-01-25
Tranquility Services,Plombiers | Entreprises d'électricité générale | Entreprises de peinture,rue Chevalier Saint Georges 97100 Basse Terre,97100,Basse Terre,971,0690324060,0590953795,non,,Lundi: 08h00 - 18h00 | Mardi: 08h00 - 18h00 | Mercredi: 08h00 - 18h00 | Jeudi: 08h00 - 18h00 | Vendredi: 08h00 - 18h00 | Samedi: 08h00 - 18h00 | Dimanche: Fermé,,installation de sanitaire | rénovation de salle de bain | plomberie de salle de bain | changement de chauffe-eau | entretien de chauffe-eau | pose de salle de bains | rénovation de sanitaire | fuite d'eau | installateur de cabine de douche | entretien de ballon d'eau chaude | rénovation de wc | installation de baignoire | installation de douche | Peinture de toitures | Travaux de peinture,ballon d'eau chaude | plomberie de sanitaire | crépi,,,,,,,,,1,,https://www.pagesjaunes.fr/pros/52433188,2026-01-25
