nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
SV2G,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
ASCBR,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Pro Btp Réunion EURL,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Max Plomberie,Plombiers | Dépannage plomberie | Rénovation immobilière,209 route Confiance 97438 Sainte Marie,97438,Sainte Marie,974,0692766640,0692451236,oui,,Lundi: 07h00 - 17h00 | Mardi: 07h00 - 17h00 | Mercredi: 07h00 - 17h00 | Jeudi: 07h00 - 17h00 | Vendredi: 07h00 - 17h00 | Samedi: 07h00 - 11h00 | Dimanche: Fermé,"Espèces, Chèque, Virement bancaire",installateur de cabine de douche | plomberie de salle de bain | urgence plomberie | raccord de plomberie | rénovation de sanitaire | installation de douche | plomberie en cuivre | rénovation de salle de bain | remplacement de chauffe-eau | installation de sanitaire | plomberie en pvc | installation de mitigeur | Artisan,plomberie de sanitaire | robinetterie,,,820054781,82005478100019,4322A,16 mai 2016,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/56495805,2026-01-25
Avenir Plomberie,"Plombiers | Vente, installation de cuisines | Vente, installation de salles de bain | Rénovation immobilière | Dépannage plomberie",63 Bis chemin Boussole le Piton St Leu 97424 Saint Leu,97424,Saint Leu,974,0693770908,0693917887,non,,Lundi: 07h00 - 19h00 | Mardi: 07h00 - 19h00 | Mercredi: 07h00 - 19h00 | Jeudi: 07h00 - 19h00 | Vendredi: 07h00 - 19h00 | Samedi: 08h00 - 12h00 | Dimanche: Fermé,"CB, Chèque, Visa, Mastercard, Espèces",changement de chauffe-eau | installation de sanitaire | réparation de chauffe-eau | rénovation de salle de bain | installateur de cabine de douche | rénovation de sanitaire | détection de fuite d'eau | plomberie de salle de bain | entretien de chauffe-eau | plomberie industrielle | débouchage de siphon | dépannage de canalisation | fuite d'eau | changement de joint | débouchage de baignoire,chauffe-eau thermodynamique | douche à l'italienne | wc | baignoire | plomberie de sanitaire | cabine de douche | robinetterie | ballon d'eau chaude | caméra d'assainissement | receveur de douche,,,942745159,94274515900015,4322A,10 avril 2025,,Siège,5,,https://www.pagesjaunes.fr/pros/63005827,2026-01-25
JLKY Entreprise,"Plombiers | Entreprises d'électricité générale | Entreprises d'électricité industrielle | Domotique | Études, installation d'automatismes industriels",40 rue Lory les Hauts Ste Clotilde 97490 Saint Denis,97490,Saint Denis,974,0692853826,0693498535,non,,,Photo de ASCBR,rénovation de salle de bain | installateur de cabine de douche | installation de sanitaire | entretien de sanitaire | détection de fuite d'eau | entretien de chauffe-eau | installation de lavabo | fuite d'eau | installation de baignoire | remplacement de robinet | plomberie de salle de bain | fuite de robinet | entretien de robinetterie | installateur de machine à laver | raccord de plomberie,ballon d'eau chaude | plomberie de sanitaire | chauffe-eau thermodynamique,,,378889307,37888930700039,4321A,3 septembre 1990,1 à 2 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/51389970,2026-01-25
Leperlier Dépannage Plomberie Electricité LDPE,"Plombiers | Entreprises d'électricité générale | Dépannage électricité | Vente, installation de salles de bain | Dépannage plomberie",Ste Clotilde 1 route Moufia Ste Clotilde 97490 Saint Denis,97490,Saint Denis,974,0693498535,0692363756,oui,,,"Espèces, Chèque, Photo de ASCBR",réparation d'évier | urgence plomberie | débouchage de canalisation | rénovation de salle de bain | fuite de robinet | installation de sanitaire | plomberie de salle de bain | installateur de machine à laver | installation de wc | pose de salle de bains | débouchage d'évier | installation de douche | entretien de chauffe-eau | fuite de wc | détection de fuite d'eau,chauffe-eau thermodynamique | plomberie de sanitaire | robinetterie | ballon d'eau chaude | cabine de douche | douche à l'italienne | baignoire | wc,,,918435843,91843584300019,4321A,16 août 2022,1 à 2 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/61713383,2026-01-25
Plomberie Contact,"Plombiers | Dépannage plomberie | Assainissement | Débouchage de canalisations | Vidange, curage",32 Ter rue Sheunon 97427 L'Etang Salé,97427,L'Etang Salé,974,0693990461,0692065817,oui,,,,détection de fuite d'eau | urgence plomberie | changement de chauffe-eau | entretien de chauffe-eau | inspection vidéo de canalisation | fuite d'eau | réparation de chauffe-eau | débouchage de canalisation | entretien de canalisation | rénovation de salle de bain | dépannage de fuite sur robinetterie | dépannage de chasse d'eau | débouchage de canalisation de wc | dépannage de canalisation | changement de joint,caméra d'assainissement | chauffe-eau thermodynamique | ballon d'eau chaude | plomberie de sanitaire,,,819709494,81970949400010,4322A,2 mai 2016,1 à 2 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/56483222,2026-01-25
Tethys Plomberie,Plombiers | Dépannage plomberie,36 allée Glaïeuls 97410 Saint Pierre,97410,Saint Pierre,974,0693852169,0692939472,oui,,Lundi: 07h30 - 18h30 | Mardi: 07h30 - 18h30 | Mercredi: 07h30 - 18h30 | Jeudi: 07h30 - 18h30 | Vendredi: 07h30 - 18h30 | Samedi: 09h00 - 11h00 | Dimanche: Fermé,"Virement bancaire, Chèque, Espèces",dépannage de sanitaire | urgence plomberie | changement de chauffe-eau | fuite d'eau | rénovation de salle de bain | plomberie de salle de bain | pose de canalisation | installation de sanitaire | installation de mitigeur | remplacement de robinet | dépannage de chasse d'eau | fuite de robinet | fuite de wc | réparation de chauffe-eau | installation de douche,robinetterie | plomberie de sanitaire | ballon d'eau chaude | baignoire | wc | douche à l'italienne,,,,,,,,,5,,https://www.pagesjaunes.fr/pros/62015442,2026-01-25
AR BTP EI,,,,,,,,,,,,,,,,,,,,,,5,,,2026-01-25
