nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
Bereau Jean,"Plombiers | Vente, installation de salles de bain | Dépannage plomberie | Fosses septiques",Entrée Tivoli 5 impasse Lucien Goliot 97234 Fort de France,97234,Fort de France,972,0696272047,0596722722,non,,Lundi: 07h00 - 16h00 | Mardi: 07h00 - 16h00 | Mercredi: 07h00 - 16h00 | Jeudi: 07h00 - 16h00 | Vendredi: 07h00 - 16h00 | Samedi: 07h00 - 14h00 | Dimanche: Fermé,"Espèces, Virement bancaire, Chèque",installateur de cabine de douche | détection de fuite d'eau | remplacement de robinet | vidange de wc | installation de sanitaire | pose d'évier | fuite d'eau | entretien de chauffe-eau | rénovation de salle de bain | réparation de chauffe-eau | plomberie de salle de bain | changement de chauffe-eau | urgence plomberie | inspection vidéo de canalisation | plomberie industrielle,ballon d'eau chaude | chauffe-eau thermodynamique | plomberie de sanitaire | caméra d'assainissement | douche à l'italienne,,,511744187,51174418700010,4322A,4 mai 2009,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/51811275,2026-01-25
Mh Multi Services MMS,"Plombiers | Dépannage serrurerie | Serrurerie, métallerie",92 chemin Morne Laurent 97234 Fort de France,97234,Fort de France,972,0696019872,0596722722,non,,Lundi: 24h/24 | Mardi: 24h/24 | Mercredi: 24h/24 | Jeudi: 24h/24 | Vendredi: 24h/24 | Samedi: 24h/24 | Dimanche: Fermé,"Espèces, Chèque, CB, Visa, Mastercard",changement de chauffe-eau | changement de joint | curage de wc | débouchage d'évier | débouchage de baignoire | débouchage de canalisation | débouchage de canalisation de wc | débouchage de lavabo | débouchage de siphon | dégorgement | dépannage de ballon d'eau chaude | dépannage de canalisation | dépannage de chasse d'eau | dépannage de fuite sur robinetterie | dépannage de sanitaire,chauffe-eau thermodynamique | ballon d'eau chaude | plomberie de sanitaire | cabine de douche | douche à l'italienne | baignoire | robinetterie | wc,,,899638902,89963890200010,4322A,,,Siège,,,https://www.pagesjaunes.fr/pros/63233840,2026-01-25
Home Secours,Plombiers | Dépannage serrurerie | Rénovation immobilière | Domotique | Stores,617 rue Rosalie Soleil 97200 Fort de France,97200,Fort de France,972,0596722722,0696019872,non,,Lundi: 06h30 - 22h00 | Mardi: 06h30 - 22h00 | Mercredi: 06h30 - 22h00 | Jeudi: 06h30 - 22h00 | Vendredi: 06h30 - 22h00 | Samedi: 07h30 - 22h00 | Dimanche: 07h30 - 22h00,"Visa, Espèces, Mastercard, Chèque, CB",fuite d'eau | fuite de wc | urgence plomberie | remplacement de chauffe-eau | fuite de robinet | pose d'évier | installation de baignoire | changement de chauffe-eau | rénovation de salle de bain | détection de fuite d'eau | plomberie en pvc | installation de mitigeur | installation de sanitaire | plomberie de salle de bain | réparation de fuite,ballon d'eau chaude | chauffe-eau thermodynamique,,,801724832,80172483200028,9609Z,14 avril 2014,6 à 9 salariés,Siège,1,,https://www.pagesjaunes.fr/pros/55639717,2026-01-25
Stop Plombier,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
JD Plomberie VRD,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Eddy Pruvost,"Plombiers | Domotique | Installation, maintenance de bornes de recharge électrique | Énergies renouvelables | Entreprises d'électricité générale",Voie Communale 2 quartier Bel Air 97280 Le Vauclin,97280,Le Vauclin,972,0696679955,0338149222,non,,,"Visa, CB, Mastercard, Espèces, Virement bancaire",changement de chauffe-eau | changement de joint | climatisation | curage de wc | débouchage d'évier | débouchage de baignoire | débouchage de canalisation | débouchage de canalisation de wc | débouchage de lavabo | débouchage de siphon | dégorgement | dépannage de ballon d'eau chaude | dépannage de canalisation | dépannage de chasse d'eau | dépannage de fuite sur robinetterie,baignoire | ballon d'eau chaude | cabine de douche | chauffe-eau thermodynamique | douche à l'italienne | plomberie de sanitaire | robinetterie | wc,,,435120589,43512058900088,4322A,15 février 2001,,Siège,5,,https://www.pagesjaunes.fr/pros/59596071,2026-01-25
Pluie & Vie,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
DPSCE,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Olivier Roquelle,"Plombiers | Vente, installation de salles de bain",10 rue Hillarion Giscon 97223 Le Diamant,97223,Le Diamant,972,0680084703,0696401532,non,,Lundi: 08h00 - 18h00 | Mardi: 08h00 - 18h00 | Mercredi: 08h00 - 18h00 | Jeudi: 08h00 - 18h00 | Vendredi: 08h00 - 18h00 | Samedi: Fermé | Dimanche: Fermé,"Chèque, Mastercard",curage de wc | entretien de robinetterie | fuite de robinet | plomberie de salle de bain | détartrage de ballon d'eau chaude | débouchage de canalisation | entretien de chauffe-eau | dépannage de sanitaire | fuite de piscine | pose réducteur de pression d'eau | pose de canalisation | rénovation de wc | détection de fuite d'eau | installation de wc | entretien de sanitaire,,,,419865621,41986562100025,4322A,17 août 1998,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/59709572,2026-01-25
Jérôme Henery,Plombiers,Villa Bibine Porte 2 route Ravine Touza 97233 Schoelcher,97233,Schoelcher,972,0696406355,0696019872,non,,Lundi: 08h00 - 17h00 | Mardi: 08h00 - 17h00 | Mercredi: 08h00 - 17h00 | Jeudi: 08h00 - 17h00 | Vendredi: 08h00 - 17h00 | Samedi: 08h00 - 17h00 | Dimanche: Fermé,,"Débouchage de canalisations | Dépannage | Intervention rapide | Recherche de fuites d'eau, de gaz | Garantie décénnale | Artisan",,,,793424730,79342473000018,4322A,1 juillet 2013,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/55057647,2026-01-25
Energie Karaïb,,,,,,,,,,,,,,,,,,,,,,5,,,2026-01-25
Express Plomberie,Plombiers,quartier Grande Savane 97224 Ducos,97224,Ducos,972,0696459853,0338149222,non,,Lundi: 07h00 - 19h00 | Mardi: 07h00 - 19h00 | Mercredi: 07h00 - 19h00 | Jeudi: 07h00 - 19h00 | Vendredi: 07h00 - 19h00 | Samedi: 07h00 - 19h00 | Dimanche: Fermé,"Chèque, Espèces, Virement bancaire",entretien de canalisation | entretien de chauffe-eau | détection de fuite d'eau | entretien de sanitaire | entretien de ballon d'eau chaude | entretien de robinetterie,,,,339793267,33979326700024,4322A,24 novembre 1986,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/53154878,2026-01-25
Jo Plomberie 972,Plombiers,2 Petite Tracee 97213 Gros Morne,97213,Gros Morne,972,0696024488,0696434105,non,,Lundi: 07h00 - 17h00 | Mardi: 07h00 - 17h00 | Mercredi: 07h00 - 17h00 | Jeudi: 07h00 - 17h00 | Vendredi: 07h00 - 17h00 | Samedi: Fermé | Dimanche: Fermé,,débouchage de canalisation | dépannage de sanitaire | entretien de robinetterie | changement de chauffe-eau | entretien de chauffe-eau | entretien de canalisation | fuite d'eau | entretien de sanitaire | détection de fuite d'eau | installation de lavabo | pose d'évier | pose réducteur de pression d'eau | rénovation de sanitaire | installation de sanitaire | raccord de plomberie,ballon d'eau chaude | wc | plomberie de sanitaire | robinetterie | cabine de douche | douche à l'italienne | baignoire | chauffe-eau thermodynamique,,,882612203,88261220300019,4322A,3 février 2020,,Siège,,,https://www.pagesjaunes.fr/pros/60222713,2026-01-25
Pav BTP,Plombiers | Assainissement | Dépannage plomberie | Fosses septiques,8 rue Bonne Espérance 97200 Fort de France,97200,Fort de France,972,0696031153,0338149222,non,,,,dépannage de ballon d'eau chaude | dépannage de chasse d'eau | raccord de plomberie | rénovation de salle de bain | rénovation de sanitaire | entretien de canalisation | rénovation de wc | agencement de salle de bains | réparation d'évier | dépannage de fuite sur robinetterie | fuite d'eau | installateur de cabine de douche | réparation de fuite | urgence plomberie | débouchage de canalisation,,,,808277511,80827751100016,4322A,2 janvier 2015,1 à 2 salariés,Siège,,,https://www.pagesjaunes.fr/pros/09066833,2026-01-25
SIE Solutions Immédiates et Efficaces,"Plombiers | Vidange, curage | Fosses septiques | Débouchage de canalisations | Assainissement",2175 qua SERAILLES 2175 Chapelle 97212 Saint Joseph,97212,Saint Joseph,972,0696016051,0696019872,non,,Lundi: 07h00 - 13h00 | Mardi: 07h00 - 13h00 | Mercredi: 07h00 - 13h00 | Jeudi: 07h00 - 13h00 | Vendredi: 07h00 - 13h00 | Samedi: 07h00 - 11h00 | Dimanche: 07h00 - 11h00,"Espèces, Virement bancaire, CB, Visa, Photo de SPSCB",raccord de plomberie | débouchage de canalisation | dépannage de canalisation | dépannage de sanitaire | fuite d'eau | fuite de douche | installation de douche | installation de sanitaire | pose d'évier | pose de salle de bains | rénovation de salle de bain | rénovation de sanitaire | urgence plomberie,,,,,,,,,,1,,https://www.pagesjaunes.fr/pros/59270123,2026-01-25
CGM Plomberie,"Plombiers | Vente, installation de chauffe-eau | Fosses septiques | Débouchage de canalisations | Assainissement",Chemin Ti Augrain quartier Augrain 97231 Le Robert,97231,Le Robert,972,0696600182,0696313753,non,,,"Espèces, Chèque",débouchage de canalisation | changement de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | rénovation de salle de bain | plomberie industrielle | pose de canalisation | raccord de plomberie | urgence plomberie | agencement de salle de bains | dégorgement | dépannage de canalisation | climatisation | détection de fuite,,,,,,,,,,5,,https://www.pagesjaunes.fr/pros/53883761,2026-01-25
Plomberie Lise,Plombiers | Dépannage plomberie,pont Viard 97200 Fort de France,97200,Fort de France,972,0696294998,0596722722,non,,,,,,,,750270753,75027075300015,4322A,,3 à 5 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/54211594,2026-01-25
Bing Plomberie,Dépannage plomberie,quartier Pointe Lynch 97231 Le Robert,97231,Le Robert,972,0696074170,0696600182,oui,,Lundi: 07h30 - 16h30 | Mardi: 07h30 - 16h30 | Mercredi: 07h30 - 16h30 | Jeudi: 07h30 - 16h30 | Vendredi: 08h00 - 16h00 | Samedi: 07h00 - 12h00 | Dimanche: Fermé,,dépannage de chaudière | dépannage de fuite sur robinetterie | réparation résistance chauffe eau | changement de wc | réparation de chasse d'eau | dépannage de chauffe-eau | détartrage de chauffe-eau | débouchage d'évier | fuite de douche | changement thermostat de chauffe-eau | débouchage de siphon | dépannage de fuite sous évier | débouchage de lavabo,,,,989042296,98904229600016,4322A,8 août 2025,,Siège,,,https://www.pagesjaunes.fr/pros/64213897,2026-01-25
VCL Plomberie,Plombiers,15 lotissement Girard Ravine Vilaine 97200 Fort de France,97200,Fort de France,972,0596550857,0596722722,non,,Lundi: 07h30 - 15h30 | Mardi: 07h30 - 15h30 | Mercredi: 07h30 - 15h30 | Jeudi: 07h30 - 15h30 | Vendredi: 07h30 - 13h00 | Samedi: Fermé | Dimanche: Fermé,,réparation de fuite | chemisage de canalisation | détection de fuite d'eau | changement de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | rénovation de salle de bain | installation de sanitaire | rénovation de sanitaire | plomberie industrielle | curage de wc | débouchage de canalisation | entretien de canalisation | entretien de sanitaire | entretien de wc de chantier,ballon d'eau chaude | chauffe-eau thermodynamique | plomberie de sanitaire | cabine de douche | douche à l'italienne | baignoire | robinetterie | wc,,,789631181,78963118100029,4322A,3 décembre 2012,1 à 2 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/54299570,2026-01-25
Plomberie Dépannage,Plombiers,quartier Bareto 97227 Sainte Anne,97227,Sainte Anne,972,0696251150,0696917785,non,,Lundi: 07h00 - 20h00 | Mardi: 07h00 - 20h00 | Mercredi: 07h00 - 20h00 | Jeudi: 07h00 - 20h00 | Vendredi: 07h00 - 20h00 | Samedi: 07h00 - 20h00 | Dimanche: Fermé,,,,,,428266662,42826666200025,4322A,,,Siège,5,,https://www.pagesjaunes.fr/pros/08633961,2026-01-25
Jrd Multiservices,Plombiers,228 rue Emilie Daniel 97234 Fort de France,97234,Fort de France,972,0696456240,0338149222,non,,Lundi: 07h00 - 18h00 | Mardi: 07h00 - 18h00 | Mercredi: 07h00 - 18h00 | Jeudi: 07h00 - 18h00 | Vendredi: 07h00 - 18h00 | Samedi: 07h00 - 18h00 | Dimanche: Fermé,,,,,,790941710,79094171000010,4322A,1 septembre 2012,1 à 2 salariés,Siège,,,https://www.pagesjaunes.fr/pros/54567924,2026-01-25
Jim'Emaps Plomberie,Plombiers,50 rue Ferme 97200 Fort de France,97200,Fort de France,972,0696851140,0696019872,non,,Lundi: 07h30 - 15h00 | Mardi: 07h30 - 15h00 | Mercredi: 07h30 - 15h00 | Jeudi: 07h30 - 15h00 | Vendredi: 07h30 - 12h30 | Samedi: Fermé | Dimanche: Fermé,,,,,,751494600,75149460000016,4322A,11 mai 2012,6 à 9 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/00898529,2026-01-25
