nom,adresse,telephone,site_web,note,nb_avis,categorie,horaires,ville_recherche,date_extraction,source
PLOMB CS RENOV,,+590690121558,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:26:57.353151,google_maps
Mon Plombier Guadeloupe,,+590690368871,https://mon-plombier-guadeloupe.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:00.066400,google_maps
PRESTIGE PLOMBERIE,"Adresse: 19 All. Bergere, Les Abymes 97139, Guadeloupe",+590590241313,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:04.193403,google_maps
SARL FILTRINOX,"Adresse: Zi Bergevin, 17 Boulevard Du Général de Gaulle, Pointe-à-Pitre 97110, Guadeloupe",+590590913240,http://filtrinox-antilles.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:08.293709,google_maps
O'Top Caraibes,,+590690703545,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:11.288833,google_maps
SOS Plombier Guadeloupe,,+590690526289,https://www.sosplombierguadeloupe.com/?utm_source=gmb,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:14.367237,google_maps
Plombier artisan - SaniExpert,"Adresse: 1 Rue Du Docteur Hélène, Le Gosier 97190, Guadeloupe",+590690342393,https://api.whatsapp.com/send/?phone=0690342393&text=Entreprise+SaniExpert+%C3%A0+votre+service+%21&type=phone_number&app_absent=0,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:17.979804,google_maps
Morinartisan | Plomberie & Salle de bain,"Adresse: 6FCV+8P8 Poucet, Le Gosier 97190, Guadeloupe",+590690679253,http://morinartisan.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:22.013322,google_maps
AKAAZ,"Adresse: 195 Rue François Fresneau, Baie-Mahault 97122, Guadeloupe",+590590570027,https://akaaz.com/,5.0,11,Magasin de matériel de plomberie,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:25.913539,google_maps
CONCEPT ENERGIES NOUVELLES,"Adresse: RDC TOUR FAIDHERBE RESIDENCE ESPACE 2000 BOULEVARD FAIDHERBE, POINTE A PITRE 97110, Guadeloupe",0590468521,https://www.facebook.com/cen.climatisation/,5.0,11,Entrepreneur spécialisé dans les systèmes de CVC,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:30.234349,google_maps
JO PLOMBERY,"Adresse: 9 Rue Léon Philis Seymour, Capesterre-Belle-Eau 97130, Guadeloupe",+590690470275,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:32.915552,google_maps
O’Top Caraibes,,+590690703545,https://www.otopcaraibes.com/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T15:27:36.668599,google_maps
